s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1600.6947866,22.3712991,35.1832495,2.6013369,0.0017545,51.7751306,2.4526936
1602.6931572,21.34644,33.4676902,2.6048545,0.0017642,51.8697111,2.4347443
1604.6915277,20.3276339,31.7485287,2.6083846,0.0017688,51.9634292,2.4169476
1606.6898982,19.314911,30.0257797,2.6119215,0.0017706,52.0562954,2.4007093
1608.6882687,18.3082885,28.2994554,2.6154612,0.0017725,52.1483739,2.3855045
1610.6866392,17.3077873,26.5695763,2.6190065,0.0017756,52.2397085,2.3704122
1612.6850098,16.3134311,24.8361593,2.6225574,0.0017781,52.3303074,2.3554311
1614.6833803,15.3252397,23.0992189,2.626113,0.0017805,52.4201785,2.3405602
1616.6817508,14.3432351,21.3587739,2.6296738,0.0017832,52.5093299,2.3257984
1618.6801213,13.3674389,19.6148408,2.6332398,0.0017858,52.5977694,2.3111447
1620.6784918,12.3978721,17.8674362,2.636811,0.0017884,52.6855046,2.2965981
1622.6768624,11.4345567,16.1165782,2.6403875,0.001791,52.772543,2.2821574
1624.6752329,10.4775135,14.3622827,2.6439693,0.0017937,52.8588922,2.2678217
1626.6736034,9.5267652,12.6045689,2.6475564,0.0017964,52.9445595,2.2535901
1628.6719739,8.5823329,10.8434537,2.6511489,0.0017991,53.0295522,2.2394614
1630.6703444,7.6442375,9.0789528,2.6547469,0.0018018,53.1138772,2.2254348
1632.668715,6.7125024,7.3110874,2.6583503,0.0018046,53.1975416,2.2115093
1634.6670855,5.7871487,5.5398734,2.6619593,0.0018073,53.2805524,2.197684
1636.665456,4.8681971,3.7653268,2.6655738,0.0018102,53.3629163,2.1839578
1638.6638265,3.955672,1.98747,2.669194,0.001813,53.4446401,2.17033
1640.662197,3.0495939,0.2063185,2.6728199,0.0018159,53.5257303,2.1567996
1642.6605676,2.1499841,-1.5781116,2.6764516,0.0018188,53.6061934,2.1433657
1644.6589381,1.2568673,-3.3657966,2.6800891,0.0018217,53.6860359,2.1300274
1646.6573086,0.370264,-5.1567217,2.6837325,0.0018247,53.765264,2.1167838
1648.6556791,-0.5098041,-6.9508701,2.6873818,0.0018276,53.8438841,2.1036342
1650.6540496,-1.3833122,-8.7482176,2.6910371,0.0018307,53.9219022,2.0905776
1652.6524202,-2.2502394,-10.5487496,2.6946985,0.0018337,53.9993244,2.0776132
1654.6507907,-3.1105639,-12.3524484,2.698366,0.0018368,54.0761566,2.0647401
1656.6491612,-3.9642605,-14.1592899,2.7020397,0.0018399,54.1524048,2.0519577
1658.6475317,-4.8113083,-15.9692591,2.7057197,0.0018431,54.2280747,2.039265
1660.6459023,-5.6516848,-17.7823374,2.709406,0.0018462,54.3031721,2.0266612
1662.6442728,-6.4853651,-19.5985014,2.7130987,0.0018495,54.3777026,2.0141457
1664.6426433,-7.3123279,-21.4177352,2.7167978,0.0018527,54.4516718,2.0017175
1666.6410138,-8.1325498,-23.240019,2.7205035,0.001856,54.5250851,1.9893759
1668.6393843,-8.9460068,-25.065331,2.7242157,0.0018593,54.597948,1.9771202
1670.6377549,-9.7526765,-26.8936538,2.7279346,0.0018626,54.6702658,1.9649497
1672.6361254,-10.5525355,-28.7249671,2.73166,0.0018658,54.7420438,-3.9472258
1674.6344959,-11.3455601,-30.5592483,2.7353918,0.0018697,54.5977593,-8.2895735
1676.6328664,-12.1317253,-32.3964808,2.7391344,0.001876,54.2934991,-8.3123623
1678.6312369,-12.9109961,-34.2366482,2.7428926,0.0018862,53.9866806,-8.3241471
1680.6296075,-13.6833254,-36.0797404,2.7466732,0.0018973,53.6776697,-8.3341402
1682.627978,-14.4486614,-37.925747,2.7504746,0.0019072,53.3664953,-8.3481296
1684.6263485,-15.2069554,-39.7746563,2.7542963,0.0019177,53.0529689,-8.3615547
1686.624719,-15.9581588,-41.6264589,2.7581391,0.0019282,52.7370699,-8.375439
1688.6230895,-16.7022213,-43.4811423,2.7620028,0.0019386,52.4187379,-8.3904104
1690.6214601,-17.4390922,-45.3386928,2.7658874,0.0019491,52.0978865,-8.405936
1692.6198306,-18.1687232,-47.1991019,2.769793,0.0019597,51.7744477,-8.4221517
1694.6182011,-18.8910625,-49.0623531,2.7737198,0.0019703,51.4483457,-8.4391184
1696.6165716,-19.6060592,-50.9284317,2.7776676,0.0019808,51.1195002,-8.4567897
1698.6149421,-20.3136651,-52.79733,2.7816367,0.0019915,50.7878303,-8.475195
1700.6133127,-21.0138269,-54.6690275,2.7856271,0.0020021,50.4532511,-8.4943395
