s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1133.3255961,-245.8079847,-132.0023179,-1.3659065,-0.005163,28.7938478,4.7818215
1135.3244067,-243.8481334,-131.6049971,-1.3753508,-0.0042725,29.1239005,4.769874
1137.3232172,-241.8854235,-131.2247587,-1.3834965,-0.0041094,29.4494436,4.7579564
1139.3220278,-239.9222417,-130.8611384,-1.3918637,-0.0042935,29.7706271,4.7460686
1141.3208384,-237.9537705,-130.5140198,-1.4007353,-0.0045814,30.0875925,4.7342105
1143.319649,-235.9820933,-130.1849353,-1.4102016,-0.0048977,30.4004737,4.722382
1145.3184595,-234.0082792,-129.875316,-1.4203086,-0.0052284,30.7093975,4.7105831
1147.3172701,-232.0306987,-129.586251,-1.4311164,-0.0055848,31.0144841,4.6988136
1149.3160807,-230.0499216,-129.3192743,-1.4426488,-0.0059581,31.3158474,4.6870736
1151.3148913,-228.0662607,-129.0759189,-1.4549285,-0.006333,31.6135959,4.6753628
1153.3137018,-226.079305,-128.8576502,-1.4679652,-0.0067091,31.9078325,4.5330598
1155.3125124,-224.090044,-128.6660841,-1.4817419,-0.0070776,32.1905456,4.0183295
1157.311323,-222.0980565,-128.5026123,-1.496114,-0.0071449,32.4390966,-4.499231
1159.3101336,-220.1033546,-128.3675018,-1.5101237,-0.0068435,32.1606711,-5.5026205
1161.3089441,-218.1078865,-128.2583665,-1.5213945,-0.004441,31.8168411,-8.091963
1163.3077547,-216.1117382,-128.1668682,-1.5276335,-0.0015974,31.3043571,-11.0463622
1165.3065653,-214.1145088,-128.0816638,-1.527636,0.001435,30.5909072,-10.1452711
1167.3053759,-212.1199309,-127.991809,-1.5234983,0.0026968,29.9206726,-9.5648382
1169.3041864,-210.1255067,-127.8913318,-1.5171782,0.0034665,29.274734,-9.2416672
1171.302997,-208.126523,-127.7767585,-1.5097413,0.0039886,28.6367835,-8.7794567
1173.3018076,-206.1335768,-127.6464649,-1.5010364,0.0047278,28.017288,-8.3863966
1175.3006182,-204.139931,-127.4972062,-1.4908667,0.0054339,27.4124568,-8.0375493
1177.2994287,-202.1462481,-127.3261314,-1.4792943,0.0061337,26.8199872,-7.7216953
1179.2982393,-200.1572948,-127.1308642,-1.4663388,0.0068395,26.2382031,-7.4520219
1181.2970499,-198.1695124,-126.9082254,-1.4519478,0.00753,25.6642346,-7.2112464
1183.2958605,-196.1872948,-126.6559263,-1.4362094,0.0082283,25.0963166,-7.0405765
1185.294671,-194.2068946,-126.370731,-1.4191189,0.0088676,24.5291571,-6.8958963
1187.2934816,-192.2328453,-126.0505984,-1.4007164,0.0095154,23.9606421,-6.7810535
1189.2922922,-190.2693875,-125.6937442,-1.3810894,0.010166,23.3881228,-6.6504073
1191.2911028,-188.307258,-125.2957405,-1.360002,0.0109044,22.8126824,-6.5121821
1193.2899133,-186.3580388,-124.855868,-1.3374191,0.0117253,22.2347755,-6.3770706
1195.2887239,-184.4218539,-124.3710405,-1.3131799,0.0126169,21.6539172,-5.7582274
1197.2875345,-182.4955026,-123.8360229,-1.2859269,0.014624,21.1157031,-4.8641077
1199.2863451,-180.5866396,-123.2451006,-1.2543146,0.0173591,20.6501346,-3.7476968
1201.2851556,-178.6989538,-122.5880538,-1.2162458,0.0206818,20.2841363,-2.7881619
1203.2839662,-176.8395332,-121.8535714,-1.1719742,0.0236373,20.0075028,-1.9312423
1205.2827768,-175.0163931,-121.0319227,-1.121925,0.0262727,19.8136265,-1.2345571
1207.2815874,-173.2405989,-120.1165296,-1.0669719,0.0283964,19.6886897,-1.1508816
