s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
171.8336746,249.9067046,-248.8014193,2.5030456,-0.0338774,17.4109691,1.5408698
173.8317405,248.662968,-250.3652432,2.4368825,-0.032373,17.5869089,1.7937247
175.8298065,247.3213623,-251.8449045,2.3738824,-0.0306582,17.7895285,2.0998973
177.8278725,245.8910152,-253.2402416,2.3142757,-0.029007,18.0238395,2.3737765
179.8259385,244.3824174,-254.5501729,2.257894,-0.0274474,18.2850955,2.6141519
181.8240045,242.8044651,-255.7752553,2.2045206,-0.0259921,18.5685544,2.822654
183.8220705,241.1646879,-256.9169836,2.1539687,-0.0246054,18.8698413,3.0162059
185.8201364,239.470942,-257.9766328,2.1061725,-0.0232493,19.1865595,3.2113088
187.8182024,237.7297466,-258.9564576,2.0609456,-0.0220509,19.5181167,3.3614621
189.8162684,235.9470141,-259.8586476,2.0179986,-0.0209609,19.8592479,3.4867258
191.8143344,234.1281157,-260.6853364,1.9770982,-0.0199855,20.2070073,3.5842529
193.8124004,232.2775449,-261.4387882,1.9381144,-0.0190336,20.558363,3.691358
195.8104664,230.3998324,-262.1212594,1.9010147,-0.0181059,20.914049,3.807164
197.8085323,228.4984842,-262.7354271,1.8657584,-0.0171873,21.2746651,3.9379665
199.8065983,226.5770822,-263.2839608,1.8323097,-0.0162925,21.6413495,4.0767015
201.8046643,224.6392829,-263.7695511,1.8006399,-0.0154153,22.014519,4.2262377
203.8027303,222.6869113,-264.1953487,1.7707007,-0.0145514,22.394813,4.3886167
205.8007963,220.7230931,-264.5641732,1.7424628,-0.0137198,22.7830011,4.5541312
207.7988623,218.7505097,-264.878937,1.7158727,-0.0128984,23.178957,4.7343669
209.7969282,216.7697158,-265.1428983,1.6909716,-0.012022,23.5835367,4.9523855
211.7949942,214.783443,-265.3591862,1.6678611,-0.0110881,23.9994498,4.9400165
213.7930602,212.793185,-265.5314003,1.6466828,-0.0101147,24.4072642,4.9276784
215.7911262,210.7992017,-265.6633987,1.6274355,-0.0091486,24.807382,4.9153711
217.7891922,208.8033727,-265.7589114,1.6101156,-0.0081898,25.2001721,4.9030946
219.7872582,206.8067189,-265.8217414,1.5947098,-0.0072383,25.5859744,4.8908487
221.7853241,204.8086293,-265.8556358,1.5810876,-0.0063939,25.9651028,4.8786334
223.7833901,202.8106117,-265.8639951,1.569147,-0.0055692,26.3378478,4.8664486
225.7814561,200.8129332,-265.8501233,1.5588267,-0.004762,26.704479,4.8542943
227.7795221,198.8148754,-265.8172431,1.5501302,-0.0039411,27.065247,4.8421703
229.7775881,196.8174521,-265.7686372,1.5430763,-0.0031216,27.4203856,4.8300765
231.7756541,194.8205588,-265.7075814,1.5376571,-0.0023031,27.7701129,4.818013
233.77372,192.8235884,-265.6373238,1.5338733,-0.0014838,28.114633,4.8059796
235.771786,190.8270386,-265.5611543,1.5317286,-0.0006631,28.4541371,4.7939763
237.769852,188.8306155,-265.482341,1.531224,0.0001582,28.7888047,4.782003
239.767918,186.8340847,-265.4041564,1.5323622,0.000981,29.1188048,4.7700595
241.765984,184.8374751,-265.3298879,1.5351443,0.0018042,29.4442962,4.7581459
243.76405,182.8404645,-265.2628124,1.5395717,0.0026271,29.7654289,-9.0690801
245.7621159,180.8433674,-265.2062308,1.5456479,0.0034549,29.1502919,-9.0265797
247.7601819,178.8458388,-265.1634328,1.5533749,0.0042793,28.5248683,-8.5105936
249.7582479,176.8477089,-265.1377115,1.5627473,0.0051006,27.9223684,-8.0219392
251.7563139,174.8499732,-265.1323729,1.5737822,0.0059461,27.3423103,-7.5672307
253.7543799,172.8520749,-265.1507698,1.586512,0.0068043,26.7836196,-7.1440903
255.7524459,170.854156,-265.1963404,1.6009807,0.0076747,26.2452577,-6.7549739
257.7505118,168.8580202,-265.2725133,1.6171868,0.0085502,25.7258583,-6.400401
259.7485778,166.8630571,-265.3827934,1.6351436,0.009426,25.2238565,-6.0773739
261.7466438,164.8700421,-265.5306645,1.6548591,0.0103032,24.7377636,-5.7793483
263.7447098,162.8814645,-265.7194436,1.6763246,0.0111889,24.2664771,-5.5085098
265.7427758,160.8970904,-265.9526835,1.6995666,0.0120769,23.8085946,-5.2629939
267.7408418,158.9184957,-266.2338018,1.7245932,0.012968,23.3627387,-5.0344162
269.7389077,156.9487629,-266.5659407,1.7514014,0.0138751,22.9281349,-4.8151579
271.7369737,154.9884654,-266.9526578,1.78005,0.0148115,22.5046076,-4.6056437
273.7350397,153.0402265,-267.3972792,1.8106128,0.0157757,22.0919126,-4.3906271
275.7331057,151.1078789,-267.9028711,1.8431408,0.0167977,21.6911751,-4.2420993
277.7311717,149.1929341,-268.4731945,1.8776909,0.0177296,21.2968328,-4.170631
279.7292377,147.2991439,-269.1110493,1.9139331,0.0185457,20.9018826,-4.0856362
281.7273036,145.4310409,-269.8183763,1.9518657,0.0194435,20.5076072,-3.972253
283.7253696,143.591241,-270.5979843,1.9916761,0.0204619,20.1168663,-3.7986815
285.7234356,141.7849434,-271.4521672,2.0337759,0.0216806,19.735964,-3.6163096
287.7215016,140.0176517,-272.3836335,2.0783688,0.0229781,19.3663891,-3.4323219
289.7195676,138.2946045,-273.3954756,2.1256465,0.0243358,19.0089719,-3.2578074
291.7176336,136.6230281,-274.4897278,2.1756447,0.025723,18.6633969,-3.0757609
293.7156995,135.0098387,-275.6684661,2.2284863,0.0271828,18.3311549,-2.8748392
295.7137655,133.4630776,-276.9330461,2.284348,0.028742,18.0150771,-2.6487221
297.7118315,131.9915137,-278.2843196,2.3434217,0.0304101,17.7188701,-2.4510503
299.7098975,130.6046,-279.7225736,2.405836,0.0320191,17.4402878,-2.258648
301.7079635,129.3128506,-281.2461924,2.47145,0.0336311,17.1795746,-2.133379
303.7060295,128.1258714,-282.8535212,2.5400341,0.0350499,16.9296343,-1.9539366
305.7040954,127.0542629,-284.54018,2.6116773,0.0366577,16.6974349,-1.6913047
307.7021614,126.1098088,-286.2993282,2.686696,0.0385183,16.4938065,-1.2955303
309.7002274,125.3027027,-288.1278089,2.7658571,0.0407364,16.3361117,-0.7951969
311.6982934,124.6472741,-290.0152908,2.8496691,0.0431172,16.23856,-0.1643962
313.6963594,124.1573568,-291.9498717,2.9383472,0.0456215,16.2183194,-0.1643962
315.6944254,123.8432625,-293.9238774,3.0291196,0.0452218,16.1980534,-0.0291337
317.6924913,123.7084821,-295.91639,3.1183219,0.0433053,16.1944593,0.4788121
319.6905573,123.7461517,-297.9122763,-3.0816604,0.0400279,16.2534276,1.2605601
321.6886233,123.9429643,-299.9007429,-3.0054901,0.0361995,16.407659,2.0864326
323.6866893,124.2829046,-301.8689911,-2.9368484,0.0325739,16.6597999,2.7856711
325.6847553,124.7501103,-303.8108925,-2.875297,0.0290727,16.9906104,3.4268393
327.6828213,125.3294579,-305.7228112,-2.8205569,0.0257212,17.3889317,4.0335701
329.6808872,126.006233,-307.6023108,-2.7724508,0.0224715,17.8463897,4.6439017
331.6789532,126.7668701,-309.4499512,-2.7307199,0.0192992,18.3589561,5.089343
333.6770192,127.5979817,-311.266547,-2.6953697,0.0160911,18.9047336,5.0766319
335.6750852,128.4870318,-313.0554951,-2.6664779,0.0127948,19.4338839,5.0639526
337.6731512,129.4218883,-314.8218286,-2.6442539,0.0094528,19.9477334,5.051305
339.6712172,130.3895777,-316.5694979,-2.628665,0.0061589,20.4474387,5.0386889
341.6692831,131.3788049,-318.3053065,-2.6196359,0.0028782,20.9340157,5.0261044
343.6673491,132.378343,-320.0359788,-2.6171492,-0.0003835,21.4083626,5.0135513
345.6654151,133.3761486,-321.7666779,-2.621137,-0.0036043,21.8712781,-0.7252314
347.6634811,134.3616186,-323.5046544,-2.6314003,-0.0065898,21.8049234,-8.1058936
349.6615471,135.3244666,-325.2560607,-2.6474178,-0.0094141,21.049049,-7.258594
351.659613,136.2539519,-327.0246229,-2.6688823,-0.0120761,20.34837,-6.507308
353.657679,137.1406731,-328.8154866,-2.6957058,-0.0147795,19.6990381,-5.8350199
355.655745,137.9739583,-330.6314275,-2.7279808,-0.0175276,19.0980259,-5.236573
357.653811,138.7432467,-332.4756816,-2.7657602,-0.0202971,18.5420753,-4.6820402
359.651877,139.4371301,-334.3497199,-2.8091501,-0.023135,18.0304882,-4.1498011
361.649943,140.0433065,-336.2527707,-2.8582773,-0.0260701,17.5646051,-3.6170708
363.6480089,140.5498217,-338.1859166,-2.9134175,-0.0291324,17.1482086,-3.0811933
365.6460749,140.9428806,-340.1448278,-2.9747697,-0.0322802,16.7853568,-2.4944504
367.6441409,141.2086865,-342.1238604,-3.0424835,-0.0356002,16.485753,-1.6984683
369.6422069,141.3329733,-344.117794,-3.1174981,-0.0394998,16.2785978,-0.9328901
371.6402729,141.299809,-346.1147322,3.0831463,-0.0429847,16.1636876,-0.2121686
373.6383389,141.0954206,-348.1014581,2.9939265,-0.0458902,16.1374391,-0.2037618
375.6364048,140.7113924,-350.0615135,2.9023076,-0.0458856,16.1121905,-0.2242776
377.6344708,140.149604,-351.9781686,2.8107559,-0.0455879,16.0843539,-0.3456902
379.6325368,139.4156089,-353.8359873,2.7199798,-0.0454368,16.0413533,-0.2941976
381.6306028,138.5158928,-355.6192616,2.628379,-0.0463241,16.004667,-0.1596945
383.6286688,137.4551854,-357.3118953,2.5350343,-0.0469647,15.9847178,-0.1596945
385.6267348,136.2406507,-358.8973516,2.440633,-0.0469634,15.9647438,-0.1289913
387.6248007,134.8837786,-360.3631004,2.3498705,-0.0439438,15.9485917,0.6635794
389.6228667,133.4037943,-361.7039889,2.2649556,-0.0410297,16.0315105,1.2943499
391.6209327,131.8186149,-362.9194226,2.1858107,-0.0384254,16.1920265,1.7616985
393.6189987,130.1447173,-364.0092977,2.1105871,-0.0368996,16.4079768,1.8975579
395.6170647,128.3955026,-364.972862,2.0386608,-0.0349961,16.6374455,2.1399072
397.6151307,126.5820572,-365.8123461,1.9706718,-0.033049,16.8924819,2.3909371
